ZINC06503852	Cc1ccc(C(=O)NC(=S)NNC(N)=S)cc1I
ZINC39589106	NS(=O)(=O)c1ccc(CCNC(=O)COC(=O)c2ccc(OC(F)(F)F)cc2)cc1
ZINC39765635	C=CCn1c(SC(C)C(=O)Nc2ccccc2C)nnc1C(CO)NC(=O)c1ccccc1F
ZINC40825113	COc1ccc(CCNC(=O)c2oc3c(c2C)/C(=N/NC(=S)Nc2ccccc2)CCC3)cc1OC
ZINC45698975	COCCOc1ccc(C(F)(F)F)cc1NC(=O)CSc1nc(C)c(CC(N)=O)s1
ZINC45850994	C=CCNC(=O)Nc1ccc(NC(=O)/C=C/c2ccc(S(=O)(=O)N(CC)CC)cc2)cc1
ZINC59113194	CCOc1ccccc1NC(=S)NCCN1CCN(C(=S)Nc2ccccc2OCC)CC1
ZINC01001400	C=CCn1c(CNc2ccccc2)nnc1SCC(=O)N/N=C/c1ccc(O)cc1
ZINC05222310	C=CCNC(=O)NC(=O)COC(=O)C(NC(=O)c1ccc(C(C)(C)C)cc1)C(C)C
ZINC09258445	CC(C)CC(NC(=O)c1ccc(Cl)cc1)C(=O)OCC(=O)NNC(=O)c1ccccc1
ZINC03286291	NC(=O)NC(CC(=O)OCC(=O)c1ccc(Cl)cc1)c1cccc(Oc2ccccc2)c1
ZINC02648976	CCOC(=O)c1c(NC(=O)COC(=O)c2cccc(C(F)(F)F)c2)sc(C(N)=O)c1C
ZINC09634249	CCOc1ccc(C(=O)NNC(=O)C(CCSC)NC(=O)c2ccccc2Cl)cc1OC
ZINC09826127	CCOCCOc1ccccc1C(=O)NC(=S)NNC(=O)COc1ccc(C)cc1C
ZINC02135881	COc1ccc(OCC(=O)NC(=S)NNC(=O)COc2ccc(Cl)cc2Cl)cc1
ZINC10040955	CCOc1cc(C(=O)NC(=S)Nc2nc3ccc(O)cc3s2)cc(OCC)c1OCC
ZINC10153972	COc1ccc(/C=C/C(=O)NC(=S)NNC(=O)C(C)Oc2ccc(C)c(C)c2)cc1OC
ZINC10455602	CCC(C)c1ccccc1OCC(=O)NNC(=S)NC(=O)c1ccc(C(=O)OC)cc1
ZINC10645029	CCOc1ccc(CCNC(=O)COC(=O)c2sc3nc(C)cc(C)c3c2N)cc1OCC
ZINC11238054	CCOc1ccc(OC(C)C(=O)NNC(=O)C(NC(=O)C2CCCCC2)C(C)C)cc1
ZINC11238231	CCOc1ccc(OC(C)C(=O)NNC(=O)CCCNC(=O)c2ccc(F)cc2F)cc1
ZINC11255708	COc1cc(C(=O)NCc2ccc(COCC(F)(F)F)cc2)cc(Cl)c1OCC(N)=O
ZINC11512729	Cc1ccc(C(=O)NCC(=O)OCC(=O)Nc2ccccc2C(=O)NC(C)c2ccccc2)cc1
ZINC11515426	Cc1ccc(C(=O)NCC(=O)OCC(=O)Nc2ccccc2C(=O)NCC(C)C)cc1
ZINC12503682	COc1cc(C(=O)NC(=S)NNC(=O)C(c2ccccc2)c2ccccc2)cc(OC)c1OC
ZINC12821158	COc1ccc(S(=O)(=O)NC(CC(C)C)C(=O)NCCNC(=O)c2ccccc2)cc1
ZINC12877721	CC(=O)Nc1ccc(S(=O)(=O)NCc2ccc(C(=O)NC(C)CCc3ccco3)cc2)cc1
ZINC12975826	CC(Sc1ccccc1C(=O)OCC(=O)C(C)(C)C)C(=O)Nc1ccc(S(N)(=O)=O)cc1
ZINC09207123	CCC(C)NS(=O)(=O)c1ccc(NC(=S)NC(=O)c2ccccc2OCCOC)cc1
ZINC13246428	CC[NH+](CC)CCNC(=O)c1ccc(NS(=O)(=O)c2ccc(/C=C/C(=O)[O-])cc2)cc1
ZINC13618334	CCCNC(=O)c1ccc(NC(=S)NC(=O)c2ccccc2OCCOC)cc1
ZINC13623495	CC(C)COc1ccc(C(=O)NC(=S)NNC(=O)C2CC(=O)N(Cc3ccccc3)C2)cc1
ZINC13623497	CCCOc1ccc(C(=O)NC(=S)NNC(=O)C2CC(=O)N(Cc3ccccc3)C2)cc1
ZINC13979292	COc1ccc(OCC(=O)NNC(=S)NC(=O)COc2ccc(C(C)(C)C)cc2)cc1
ZINC14660525	COCCOc1ccccc1C(=O)NC(=S)NNC(=O)COc1ccc(C)cc1C
ZINC14660595	COCCOc1ccccc1C(=O)NC(=S)NNC(=O)COc1ccccc1C
ZINC15320757	CCOC(=O)c1c(NC(=O)CNc2ccc(OC(F)F)c(Cl)c2)sc(C(=O)NC)c1C
ZINC21124283	Cc1nc(COc2ccc(C(=O)NNC(=S)NCCc3cccs3)cc2)no1
ZINC21683000	CCOc1ccc(C(C)C)cc1S(=O)(=O)NCCNC(=O)c1ccc(NC(=O)C2CC2)cc1
ZINC29348543	COc1ccccc1Nc1nnc(SCC(=O)N(CCC(N)=O)Cc2ccccc2)s1
ZINC32937329	COc1ccc(NC(=O)C(=O)NCCSCc2ccsc2)cc1NC(=O)OC(C)(C)C
ZINC14021968	CCCOC(=O)c1ccc(OCC(=O)NNC(=S)NC(=O)C2CCCCC2)cc1
ZINC08765061	CC(C)CCCC(C)NC(=O)CCC1NC(=O)N(CCc2c[nH]c3ccccc23)C1=O
ZINC39659420	Cc1cccc(C(=O)NC(C(=O)OCC(=O)Nc2ccccc2C(=O)NCC(C)C)C(C)C)c1
ZINC39660186	CC(C)C(Oc1ccccc1)C(=O)N1CC(C(=O)NCCCCCC(=O)[O-])C2(CC[NH2+]CC2)C1
ZINC39707740	CCOC(=O)C1C(C)=C(C)SC1NC(=O)CSc1nc(CNc2ccccc2)n[nH]1
ZINC23249003	CC(C)NS(=O)(=O)c1ccc(NC(=O)C(C)NC(CN2CCOCC2)c2ccccc2)cc1
ZINC32515463	CCCC(CNC(=O)COC(=O)CCC1NC(=O)NC1=O)c1ccc(Cl)cc1Cl
ZINC58222871	CCOc1ccc(-c2n[nH]c(=S)n2CCC(=O)N(CCC2CCCCC2)CC(N)=O)cc1
ZINC59486859	C=CCn1c(CNc2ccc(Cl)cc2)nnc1SCC(=O)N/N=C/c1cccc(O)c1
ZINC14155928	COC(CN/C(=N\C(=S)Nc1ccc(Cl)cc1Cl)Nc1nc(C)cc(C)n1)OC
ZINC14156252	COc1cc(NC(=S)/N=C(/NCC(C)C)Nc2nc(C)cc(C)n2)c(OC)cc1Cl
ZINC60065092	COCCOC(=O)Nc1cccc(NC(=O)C(CC(C)C)NC(=O)c2ccc(Cl)cc2)c1
ZINC66070870	O=C(CNc1ccccc1OCC1CCCO1)Nc1ccc(C(=O)NCc2ccco2)cc1
ZINC66089688	CC(C)COc1ccccc1NC(=O)CNc1ccc(C(=O)NCC2CCCO2)cc1
ZINC66107850	COCCOc1ccc(NC(=O)CNc2ccc(C(=O)NCc3ccco3)cc2)cc1
ZINC66227664	O=C(CNc1ccc(OCC2CCCO2)cc1)Nc1cccc(C(=O)NCc2ccco2)c1
ZINC05364347	CCc1sc(C(=O)OCC(=O)NCCc2ccc(S(N)(=O)=O)cc2)cc1C
ZINC06392947	CCC(C)c1ccccc1OCC(=O)NNC(=O)c1ccc(NC(=O)C2CC2)cc1
ZINC06489932	CCc1ccc(OCc2ccc(C(=O)NNC(=S)NCC3CCCO3)o2)cc1
ZINC02795304	CCOc1ccc(CC(=O)NNC(=S)Nc2ccccc2CC)cc1OCC
ZINC06196602	CCOc1ccc2[nH]c(=O)c(CN(CCCO)C(=S)Nc3cccc(Cl)c3)cc2c1
ZINC07616525	CC1CCN(C(=S)SCC(=O)OC(C)C(=O)Nc2ccc(C(N)=O)cc2)CC1
ZINC09826136	CCOCCOc1ccccc1C(=O)NC(=S)NNC(=O)c1cccc(C)c1
ZINC07581914	CCCCNC(=S)NNc1ccc(S(=O)(=O)N2CC(C)CC(C)C2)cn1
ZINC13617460	CCOc1ccccc1C(=O)NC(=S)Nc1ccc(C(=O)NCCOC)cc1
ZINC13617546	COCCNC(=O)c1ccc(NC(=S)NC(=O)CCc2ccccc2Cl)cc1
ZINC13631704	CCCOc1ccc(C(=O)NC(=S)Nc2ccc(C(=O)NCC)cc2)cc1Br
ZINC06233715	COc1ccccc1OCC(=O)NNC(=S)NC(=O)/C=C/c1ccc(C)cc1
ZINC14012730	CCOc1ccc(C(=O)NC(=S)NNC(=O)COc2ccccc2Cl)cc1
ZINC14158623	COCCCN/C(=N\C(=S)Nc1cc(C)ccc1C)Nc1nc(C)cc(C)n1
ZINC14664531	CCCNS(=O)(=O)c1ccc(NC(=S)NC(=O)c2ccccc2OC(C)C)cc1
ZINC14837407	CC(C)Oc1cccc(C(=O)NC(=S)Nc2cccc(C(=O)NCc3ccco3)c2)c1
ZINC15913121	Cc1ccc(OCCCC(=O)NNC(=S)NCc2ccc3c(c2)OCO3)cc1
ZINC20158276	COc1ccc(CC(=O)NN/C(C)=C/C(=O)NCc2ccc(F)cc2)cc1OC
ZINC20970413	NC(=O)NC(CC(=O)OCC(=O)N1CCC(Cc2ccccc2)CC1)c1ccc(Cl)cc1
ZINC20973423	CC(C)(C)N(Cc1ccccc1)C(=O)COC(=O)CC(NC(N)=O)c1ccc(Cl)cc1
ZINC21601805	Cc1ccc(C(C)C)c(OCC(=O)OC(C)C(=O)Nc2sc3c(c2C(N)=O)CCC3)c1
ZINC21683042	O=C(NCCNS(=O)(=O)/C=C/c1ccccc1)c1ccc(NC(=O)C2CC2)cc1
ZINC25377330	CCc1ccccc1NC(=O)CNC(=O)CCNS(=O)(=O)c1ccc(F)cc1
ZINC36214608	CCNC(=S)N1CCC(C(NC(=O)c2ccccc2)C(=O)NC(C)CC)CC1
ZINC02634655	COc1cc(OC)cc(C(=O)NC(C(=O)NCCc2c[nH]c3ccccc23)C(C)C)c1
ZINC39420869	CC(C)OCCNC(=O)C1Sc2ncnc(NCCc3c[nH]c4ccccc34)c2C1C
ZINC39682792	CCC(C(=O)N1CC(C(=O)NCCCCC(=O)[O-])C2(CC[NH2+]CC2)C1)c1ccccc1
ZINC39733466	C=C1C=C(C)C(CNC(=O)C(CCSC)NS(=O)(=O)c2ccccc2F)C(=O)N1
ZINC34257628	CCO/C([O-])=C(/C=N/C(=S)Nc1ccc(Cl)cc1)C(=O)NCC[NH+](C)C
ZINC40721616	CCOc1cc(C[NH2+]C(Cc2c[nH]c3ccccc23)C(=O)[O-])cc(Cl)c1OCC
ZINC43208977	O=C([O-])C(C[NH2+]CCc1ccccn1)C(NCCc1ccccn1)c1ccc(F)cc1
ZINC46735847	N#Cc1ccccc1CSCCNC(=O)CCCCC1SCC2NC(=O)NC21
ZINC57204805	CC(C)CCSCC(=O)N(CC(C)C)c1c(N)n(CC(C)C)c(=O)[nH]c1=O
ZINC03333797	CCOC(=O)/C(C#N)=C/Nc1ccccc1NC(=S)Nc1ccc(C(C)=O)cc1
ZINC17308257	COCCOC(=O)c1c(NC(=O)CSc2ccc(F)c(F)c2)sc(C(N)=O)c1C
ZINC17811994	Cc1ccc(S(=O)(=O)NC(CC(C)C)C(=O)NCC(=O)NC(C)(C)C)cc1
ZINC58839386	CCCNS(=O)(=O)c1ccc(NC(=O)C(NC(=O)CC(C)C)C(C)C)cc1
ZINC59021160	O=C(COc1ccccc1CNC(=O)Cc1c[nH]c2ccccc12)NCC1CCCO1
ZINC27613786	O=C(CCCCC1SCC2NC(=O)NC21)NCCN1CCN(c2ccc(F)cc2)CC1
ZINC60458907	CCOC(=O)c1c(C)[nH]c(C(=O)CNc2ccc(C(=O)NC(C)C)cc2C)c1C
ZINC62197468	CCS(=O)(=O)NCCNC(=O)C(=O)Nc1ccc(SC(F)(F)F)cc1
ZINC52740090	C=CCNC(=O)c1ccc(NC(=O)C(=O)NC(CC(C)C)c2cccs2)cc1
ZINC63397429	CCOCCOc1c(Cl)cccc1NC(=O)NCCC(=O)NC1CCCC1
ZINC66062475	C=CCOc1ccccc1NCC(=O)Nc1cccc(C(=O)NCc2ccco2)c1
ZINC66070801	CCCNC(=O)c1ccc(NC(=O)CNc2ccccc2OCC2CCCO2)cc1
ZINC66089732	C=C(C)COc1ccccc1NC(=O)CNc1ccc(C(=O)NCC2CCCO2)cc1
ZINC66841130	CCN(CC)c1ccc(CNC(=O)/C=C/c2ccc(OCC(N)=O)cc2)cc1F
ZINC67131397	O=C(CCCCC1SCC2NC(=O)NC21)NCc1ccc(OC(F)F)cc1
ZINC67189984	O=C(CCCNS(=O)(=O)c1ccc(F)cc1)NNC(=O)CC1CCCCC1
ZINC67193879	CCOc1ccc(OCC)c(NC(=S)NNC(=O)c2ccc(Cl)s2)c1
ZINC03129783	COC(=O)c1ccc(NC(=S)NC(NC(=O)c2ccccc2)C(Cl)(Cl)Cl)cc1
ZINC03130842	COC(=O)c1ccc(NC(=S)NC(NC(=O)CCl)C(Cl)(Cl)Cl)cc1
ZINC02886365	C=CCOc1c(Br)cc(CNc2ccc(S(N)(=O)=O)cc2)cc1OCC
ZINC08831388	COc1cc(NC(=S)NC(=O)COc2ccccc2C)ccc1NC(=O)c1cccs1
ZINC03434815	CCOC(=O)Cc1csc(SCC(=O)Nc2sc3c(c2C(N)=O)CCC(C)C3)n1
ZINC09345205	COc1ccc(CCNC(=S)NCCc2cc3ccc(C)c(C)c3[nH]c2=O)cc1OC
ZINC10039036	CCOc1cc(C(=O)NNC(=S)Nc2ccc(Cl)cc2Cl)cc(OCC)c1OCC
ZINC10606277	CC1CCCCC1NC(=O)CSc1nc2ccccc2c(=O)n1CCCCCC(N)=O
ZINC12037543	COc1ccc(F)c(CC2(CCC(=O)NCCc3c(C)[nH]c4ccc(Cl)cc34)CCC(=O)N2)c1
ZINC12357336	CCC(CC)NC(=O)COC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)c1cccs1
ZINC12502746	O=C(COc1ccc(Br)cc1)NNC(=S)NC(=O)C(c1ccccc1)c1ccccc1
ZINC12502988	Cc1ccc(OCC(=O)NC(=S)NNC(=O)COc2ccc(Cl)cc2Cl)cc1
ZINC12570155	CC(Oc1ccc(Cl)cc1Cl)C(=O)NC(=S)NNC(=O)COc1ccccc1Cl
ZINC12898305	O=C(CCCNC(=O)c1ccc(Cl)cc1)NNC(=O)COc1ccccc1-c1ccccc1
ZINC13018850	C=CCNC(=S)NNC(=O)/C=C/c1c(C)nn(Cc2c(Cl)cccc2Cl)c1C
ZINC01812046	CCNC(=S)NNC(=O)CSc1nnc(-c2ccccc2)n1-c1ccc(Br)cc1
ZINC13618501	COCCNC(=O)c1cccc(NC(=S)NC(=O)c2cc(Br)ccc2OC(C)C)c1
ZINC13621188	CCOc1ccc(/C=C/C(=O)NC(=S)NNC(=O)c2ccc(OCC(C)C)cc2)cc1
ZINC13978593	CCc1ccc(OCC(=O)NC(=S)NNC(=O)COc2ccccc2C)c(Br)c1
ZINC13979104	CCc1ccc(OCC(=O)NNC(=S)NC(=O)/C=C/c2ccccc2)c(Br)c1
ZINC13979869	COc1ccc(/C=C/C(=O)NC(=S)NNC(=O)COc2cc(C)c(Cl)c(C)c2)cc1
ZINC14012711	CCOc1ccc(C(=O)NC(=S)NNC(=O)COc2ccc(Br)cc2)cc1
ZINC14032285	CCCCOc1ccccc1C(=O)NC(=S)Nc1ccccc1C(=O)NCc1ccco1
ZINC14241635	COCCCN(Cc1sc2ccccc2c1Cl)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O
ZINC14249105	CS(=O)(=O)NC1(CNC(=O)CC(NC(=O)c2ccccc2Cl)c2ccccc2)CCCCC1
ZINC14579800	CCCN(C(=O)CSCc1ccc(C)cc1)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O
ZINC14653542	CCCOc1ccc(Br)cc1C(=O)NC(=S)Nc1ccccc1C(=O)NCC
ZINC14664520	C=CCNS(=O)(=O)c1ccc(NC(=S)NC(=O)c2ccccc2OC(C)C)cc1
ZINC15223526	COc1ccccc1/C=C(/C(=O)OCC(=O)Nc1sc2c(c1C(N)=O)CCCC2)c1ccccc1
ZINC15497619	O=C(CNC(=O)CNC(=O)c1ccc(Cl)cc1Cl)NCCCSc1ccc(F)cc1
ZINC15529985	Cc1ccc(S(=O)(=O)NC(CC(C)C)C(=O)NNC(=O)Cc2ccc(Cl)cc2)cc1
ZINC15560389	CNC(=O)c1ccc(NC(=O)C(CCSC)NS(=O)(=O)c2cc(Cl)ccc2Cl)cc1
ZINC20562859	COC(=O)c1c(NC(=S)NNC(=O)CSCc2ccccc2)sc2c1CCC(C)C2
ZINC20991109	CC(OC(=O)CC(NC(N)=O)c1ccc(Cl)cc1)C(=O)N(Cc1ccccc1)Cc1ccccc1
ZINC21050044	COCCCNC(=O)Nc1cc(C(=O)NCc2ccc(C(C)C)cc2)ccc1N1CCCC1
ZINC22749936	CC(NC(=O)CSc1nnc(-c2cccs2)n1CCC(N)=O)c1ccc(Br)cc1
ZINC23637187	NS(=O)(=O)c1ccc(CNC(=O)COC(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1
ZINC24964522	COc1ccc(S(=O)(=O)NC(C)C(=O)NCC(c2ccccc2)c2c[nH]c3ccccc23)cc1
ZINC14012371	CCOc1ccc(C(=O)NC(=S)Nc2ccc(S(=O)(=O)Nc3ccccc3)cc2)cc1
ZINC36500862	C/C=C\C(C(=O)NC(C)(C)CC(C)(C)C)N(Cc1ccco1)C(=O)c1cccc(O)c1O
ZINC36570643	CCCN(C(=O)c1ccc(O)cc1)C(C(=O)NC(C)(C)CC(C)(C)C)c1ccc(O)cc1
ZINC36575367	CCCN(C(=O)CNC(=O)c1ccccc1)C(C(=O)NC1CCCCC1)c1ccccc1O
ZINC13471396	CCOc1cc(NC(=S)NCC2CCCO2)c(OCC)cc1NC(=O)c1ccccc1
ZINC39974695	O=S(=O)(NCC1CCCO1)c1ccc(NC(=S)Nc2ccc(OC(F)F)c(Cl)c2)cc1
ZINC46705264	COc1cccc(C(CNC(=O)CCCNC(=O)C2CC2)c2c[nH]c3ccccc23)c1OC
ZINC54120905	CC[NH+](CC)c1ccc(CN(CC(O)COc2ccccc2C=O)c2cccc[nH+]2)cc1
ZINC58244777	NC(=O)C1CCCN(c2ccc(CNC(=O)CSCc3cc(-c4cccs4)on3)cc2)C1
ZINC59403088	N#Cc1c(CCCNC(=O)CCC(=O)c2ccc(F)cc2F)nn(-c2ccc(F)cc2)c1N
ZINC14579798	CCCN(C(=O)CSCc1cccc(Cl)c1)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O
ZINC67301150	CC[NH+](CC)c1ccc(NC(=O)Cn2c(-c3ccc(F)cc3)nc(C)c(CCO)c2=O)c(C)c1
ZINC04236541	CCNC(=O)OC1CCC2(C)C(CC(=O)NCc3ccco3)C(O)CCC2C1(C)CO
ZINC01733736	O=C(NCOC(O)C(Cl)(Cl)Cl)NCOC(O)C(Cl)(Cl)Cl
ZINC05387081	O=C1c2ccccc2C(=O)c2c(NCCOCCO)ccc(NCCOCCO)c21
ZINC02266004	CC(C)OC(=O)NC(Nc1ccc(S(N)(=O)=O)cc1)(C(F)(F)F)C(F)(F)F
ZINC03225442	COc1ccccc1NS(=O)(=O)c1cccc(C(=O)NNC(=O)NCCCl)c1
ZINC06597472	CC(C)(C)NC(=O)NC(=O)COC(=O)CCNC(=O)NC12CC3CC(CC(C3)C1)C2
ZINC03491299	NC(=O)c1ccsc1NC(=O)COC(=O)c1ccccc1NC(=O)c1ccco1
ZINC08395154	C=C(C)c1cccc(C(C)(C)NC(=O)Nc2oc(C)c(C(=O)OCC)c2C(N)=O)c1
ZINC09778631	NC(=O)c1c(NC(=O)CSc2nnc(NCc3ccco3)s2)sc2c1CCC2
ZINC09789046	NC(=O)c1c(NC(=O)CSc2nnc(NCC3CCCO3)s2)sc2c1CCC2
ZINC09905868	CS(=O)(=O)NCCc1ccc(C(=O)Nc2cc(C(N)=O)ccc2N2CCCC2)cc1
ZINC10462100	CCCCN1CC(C(=O)Nc2ccc(C(=O)Nc3ccc(S(N)(=O)=O)cc3)cc2)CC1=O
ZINC12403255	COc1ccccc1C(=O)NC(=S)NNC(=O)c1ccc(NC(=O)C2CC2)cc1
ZINC12426122	NC(=O)c1ccsc1NC(=O)COC(=O)CC1Sc2ccc(C(F)(F)F)cc2NC1=O
ZINC12502684	CC(=O)Nc1ccc(C(=O)NNC(=S)NC(=O)C(c2ccccc2)c2ccccc2)cc1
ZINC12571486	CCC(=O)Nc1ccc(C(=O)NNC(=S)NC(=O)COc2ccccc2OC)cc1
ZINC13727233	O=C(CCNC(=O)Cc1n[nH]c(=O)c2ccccc12)NCCc1c[nH]c2ccccc12
ZINC13977377	COc1ccc(/C=C/C(=O)NC(=S)NNC(=S)Nc2ccccc2)cc1OC
ZINC13985471	COc1ccc(/C=C/C(=O)NC(=S)NNC(=O)CNC(=O)C2CCCCC2)cc1
ZINC14095054	CSCCC(NC(N)=O)C(=O)Nc1ccc(S(=O)(=O)N2CCC(C)CC2)cc1
ZINC14162826	CC(NC(=O)CSc1nnc(NCc2ccco2)s1)c1ccc(S(N)(=O)=O)cc1
ZINC14185462	NC(=O)CSc1ccccc1NC(=O)CN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
ZINC16187158	COCCNC(=S)NNC(=O)c1ccccc1NS(=O)(=O)c1cccs1
ZINC16320892	CC(=O)NC(=S)Nc1ccc(NC(=S)NC(=O)c2ccc([N+](=O)[O-])cc2Cl)cc1
ZINC16332255	CC(Sc1nnc(NCC2CCCO2)s1)C(=O)Nc1sccc1C(N)=O
ZINC17641515	Cc1sc2nc(CSC(C)C(=O)NNC(=S)NC(C)C)[nH]c(=O)c2c1C
ZINC21264597	NS(=O)(=O)c1ccc(C[NH2+]C/C([O-])=N/c2nnc(Cc3ccccc3)s2)cc1
ZINC21321480	CSc1ccccc1NC(=O)CSc1nnc(N/N=C/c2ccc(C)o2)n1N
ZINC22533568	NC(=O)CSc1nnc(SCC(=O)NC(=O)NCCC2=CCCCC2)s1
ZINC22625375	COc1ccc(S(=O)(=O)/N=C(\N)NCCc2c(C)[nH]c3ccc(F)cc23)cc1OC
ZINC24506975	CC1CCc2c(sc(NC(=O)CSc3nnc(NCC4CCCO4)s3)c2C(N)=O)C1
ZINC24871803	CN(CCNC(=O)c1ccccc1NS(=O)(=O)c1ccc2[nH]c(=O)[nH]c2c1)c1ccccc1
ZINC12786805	NS(=O)(=O)c1ccc(CCNC(=O)NCC(c2cccs2)N2CCOCC2)cc1
ZINC28717665	COCCNS(=O)(=O)c1ccc(Cl)c(C(=O)NNC(=O)c2cc(Br)c[nH]2)c1
ZINC29691387	Cc1cccc(NC(=S)NNC(=O)CCNS(=O)(=O)c2cccs2)c1C
ZINC31685471	NC(=O)COc1ccccc1C(=O)OCC(=O)NCC(=O)Nc1ccc(F)c(F)c1F
ZINC06477013	NC(=O)c1ccsc1NC(=O)COC(=O)CNC(=O)C12CC3CC(CC(C3)C1)C2
ZINC36500918	COc1cc(C(C(=O)NC(C)(C)C)N(Cc2ccco2)C(=O)c2cccc(O)c2O)ccc1O
ZINC36594217	CCC(=O)N(C(C(=O)NCS(=O)(=O)c1ccc(C)cc1)c1c(O)cc(O)cc1O)C(C)(C)C
ZINC36602011	CCCCNC(=O)C(c1c(O)cc(O)cc1O)N(Cc1ccc(C)o1)C(=O)COC
ZINC39252395	CCOCCC1NNC(NC(=O)C2CC(=O)N(CCc3c[nH]c4ccc(Cl)cc34)C2)S1
ZINC08829883	COc1cc(N/C([S-])=[NH+]/Cc2ccc(S(N)(=O)=O)cc2)c(OC)cc1Cl
ZINC08829883	COc1cc(NC(=S)NCc2ccc(S(N)(=O)=O)cc2)c(OC)cc1Cl
ZINC40155905	CN(CC(O)COc1ccc(C(F)(F)F)cc1)C(=O)Nc1ccc(S(N)(=O)=O)cc1
ZINC41097218	CC(O)CNS(=O)(=O)c1ccc(-c2ccc(S(=O)(=O)NCC(C)O)cc2)cc1
ZINC02782013	COCCNC(=S)NNC(=O)c1cc2n(n1)C(C(F)(F)C(F)(F)F)CC(C)N2
ZINC02794081	COc1ccccc1NC(=S)NNC(=O)c1cnn2c1NC(c1ccccc1)CC2C(F)F
ZINC13039985	CCN(C(=O)CNC(C)c1ccccc1F)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O
ZINC59114956	S=C(NCc1ccc2c(c1)OCO2)NNC(=S)NCc1ccc2c(c1)OCO2
ZINC60373825	CC(C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)N1CCCC(CCC(N)=O)C1
ZINC63807270	Cc1[nH]cnc1CSCCNC(=O)C(=O)Nc1ccc2c(c1)NC(C(F)(F)F)N2C
ZINC03841103	COCC(=O)Nc1nc2c(s1)CC1C(C)(CO)C(O)CCC1(C)C2CC(=O)NC(C)C
ZINC02135633	NS(=O)(=O)c1ccc(NC(=S)NC(=O)COc2ccc(Cl)cc2Cl)cc1
ZINC03334697	CNS(=O)(=O)c1cccc(C(=O)NCCc2ccc(S(N)(=O)=O)cc2)c1
ZINC08172627	O=C(NNC(=O)c1ccc(S(=O)(=O)Nc2ccccc2)cc1)C(=O)NC1CC1
ZINC08555294	CC(=O)Nc1ccc(C(=O)NNC(=S)NC(=O)Cc2ccc(Cl)cc2)cc1
ZINC09228282	CCOC(=O)c1c(C)[nH]c(C)c1S(=O)(=O)Nc1ccc(S(N)(=O)=O)cc1
ZINC09396724	O=C(NC(Cc1ccccc1)C(=O)NNC(=O)c1n[nH]c(=O)c2ccccc12)c1ccccc1
ZINC09613385	NS(=O)(=O)c1cccc(NC(=O)COC(=O)CC2Sc3ccccc3NC2=O)c1
ZINC10012126	NS(=O)(=O)c1ccc(NC(=S)NC(=O)/C=C/c2cccc([N+](=O)[O-])c2)cc1
ZINC12418468	CCC(SC1=NC(=O)C(c2ccccc2)C(=O)N1)C(=O)Nc1ccc(S(N)(=O)=O)cc1
ZINC13040482	Cc1ccc(C(=O)NCCc2ccc(S(N)(=O)=O)cc2)cc1NC(=O)c1ccco1
ZINC13127467	CC(Sc1nnc(NCC2CCCO2)s1)C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1
ZINC14161063	Cc1cc(C)nc(N/C(=N/C(=S)Nc2ccc(F)cc2)N2CCC(C(N)=O)CC2)n1
ZINC14161093	Cc1cc(C)nc(N/C(=N/C(=S)NC2CCCC2)N2CCC(C(N)=O)CC2)n1
ZINC14781596	C=CC1(C)CC(OC(=O)C(=C)C(O)CO)C(C(=C)C(=O)OC)C(O)C1C(=C)CO
ZINC14849393	CCN(C(=O)CCC1Cc2ccccc2NC1=O)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O
ZINC15071156	Cc1c(C(=O)NC(CC(C)C)C(N)=O)sc2ncnc(NCC3CCCO3)c12
ZINC15899218	O=C(CCCNS(=O)(=O)c1ccc(F)cc1)NNC(=S)NCC1CCCO1
ZINC20836868	C/C(=N\Nc1nc(SCc2nnc(C(F)(F)F)o2)n[nH]1)c1ccc(N)cc1
ZINC21761912	CNc1snc(C)c1C(=O)OC(C)C(=O)Nc1sc2c(c1C(N)=O)CCC2
ZINC21882454	CC1CCc2c(sc3nc(CCC(=O)NCCc4ccc(S(N)(=O)=O)cc4)[nH]c(=O)c23)C1
ZINC27253657	Cc1ccc(S(=O)(=O)NC2CC2)cc1C(=O)NNC(=S)NC1CCCC1
ZINC30988605	NC(=O)COc1cccc(NC(=O)CC2Sc3ccc(C(F)(F)F)cc3NC2=O)c1
ZINC33310217	CC(C)CNC(=O)Nc1ccc(NC(=O)N2CCCC(C(=O)NCC3CCCO3)C2)cc1
ZINC12746649	CCN(CC(=O)Nc1sc2c(c1C(N)=O)CCCC2)Cc1nc2ccccc2c(=O)[nH]1
ZINC36498352	CC(C)(C)NC(=O)C(c1c(O)cc(O)cc1O)N(Cc1ccco1)C(=O)c1ccco1
ZINC02884528	COc1cc(C2NC(=O)NC(c3ccccc3)=C2C(C)=O)c(Br)cc1OCC(N)=O
